product,price,quantity,date,region
pink morsel,3.99,16,2021-03-15,north
pink morsel,3.99,15,2021-03-15,east
pink morsel,3.99,14,2021-03-15,south
pink morsel,3.99,13,2021-03-15,west
green morsel,1.99,20,2021-03-15,north
pink morsel,3.99,17,2021-03-20,north
pink morsel,3.99,16,2021-03-20,east
pink morsel,3.99,15,2021-03-20,south
pink morsel,3.99,14,2021-03-20,west
blue morsel,3.49,10,2021-03-20,east
pink morsel,3.99,18,2021-04-01,north
pink morsel,3.99,17,2021-04-01,east
pink morsel,3.99,16,2021-04-01,south
pink morsel,3.99,15,2021-04-01,west
pink morsel,3.99,19,2021-04-10,north
pink morsel,3.99,18,2021-04-10,east
pink morsel,3.99,17,2021-04-10,south
pink morsel,3.99,16,2021-04-10,west
green morsel,1.99,22,2021-04-10,north
pink morsel,3.99,20,2021-04-20,north
pink morsel,3.99,19,2021-04-20,east
pink morsel,3.99,18,2021-04-20,south
pink morsel,3.99,17,2021-04-20,west
blue morsel,3.49,12,2021-04-20,north
pink morsel,3.99,21,2021-05-01,north
pink morsel,3.99,20,2021-05-01,east
pink morsel,3.99,19,2021-05-01,south
pink morsel,3.99,18,2021-05-01,west
pink morsel,3.99,22,2021-05-15,north
pink morsel,3.99,21,2021-05-15,east
pink morsel,3.99,20,2021-05-15,south
pink morsel,3.99,19,2021-05-15,west
green morsel,1.99,18,2021-05-15,east
